age,gender,policy_type,premium_amount,sales_channel,tenure_months,total_claim_amount,num_claims,is_fraudulent,has_claim,claim_freq,monthly_premium,age_policy,tenure_claim,claim_to_premium,claim_severity
56,Female,Property,838.37,Broker,30,4263.25,1.0,0.0,1,0.03333333333333333,27.945666666666668,46948.72,30.0,5.085165261161539,4263.25
69,Female,Motor,201.6,Broker,59,0.0,0.0,0.0,0,0.0,3.4169491525423727,13910.4,0.0,0.0,0.0
46,Male,Motor,1620.48,Broker,9,4726.51,1.0,0.0,1,0.1111111111111111,180.05333333333334,74542.08,9.0,2.9167345477883098,4726.51
32,Male,Health,696.49,Broker,92,2364.98,1.0,0.0,1,0.010869565217391304,7.57054347826087,22287.68,92.0,3.395569211331103,2364.98
60,Male,Health,829.97,Broker,68,0.0,0.0,0.0,0,0.0,12.205441176470588,49798.200000000004,0.0,0.0,0.0
25,Male,Property,1949.95,Broker,39,0.0,0.0,0.0,0,0.0,49.99871794871795,48748.75,0.0,0.0,0.0
38,Female,Property,885.33,Online,81,10384.14,3.0,0.0,1,0.037037037037037035,10.93,33642.54,243.0,11.729117956016399,3461.3799999999997
56,Male,Motor,681.27,Direct,11,4998.37,1.0,0.0,1,0.09090909090909091,61.93363636363636,38151.119999999995,11.0,7.336841487222394,4998.37
75,Male,Health,505.74,Bank,2,7030.64,3.0,0.0,1,1.5,252.87,37930.5,6.0,13.901688614703207,2343.5466666666666
36,Male,Health,1959.66,Broker,23,4614.93,1.0,0.0,1,0.043478260869565216,85.20260869565217,70547.76000000001,23.0,2.3549646367226966,4614.93
40,Female,Property,411.3,Direct,63,1984.19,1.0,0.0,1,0.015873015873015872,6.5285714285714285,16452.0,63.0,4.824191587648918,1984.19
28,Male,Health,1189.01,Broker,114,1718.85,1.0,0.0,1,0.008771929824561403,10.429912280701755,33292.28,114.0,1.445614418718093,1718.85
28,Male,Property,1316.63,Direct,22,1603.24,1.0,0.0,1,0.045454545454545456,59.846818181818186,36865.64,22.0,1.2176845431138588,1603.24
41,Female,Health,1749.74,Broker,61,0.0,0.0,0.0,0,0.0,28.684262295081968,71739.34,0.0,0.0,0.0
70,Female,Motor,1619.88,Bank,26,1492.95,1.0,0.0,1,0.038461538461538464,62.30307692307693,113391.6,26.0,0.9216423438773242,1492.95
53,Male,Health,2045.73,Online,12,3181.73,1.0,0.0,1,0.08333333333333333,170.4775,108423.69,12.0,1.5553029969741852,3181.73
57,Male,Property,207.4,Direct,32,0.0,0.0,0.0,0,0.0,6.48125,11821.800000000001,0.0,0.0,0.0
41,Male,Property,811.46,Broker,9,670.04,1.0,0.0,1,0.1111111111111111,90.16222222222223,33269.86,9.0,0.8257215389544771,670.04
20,Male,Motor,772.32,Online,107,6824.86,3.0,0.0,1,0.028037383177570093,7.217943925233645,15446.400000000001,321.0,8.836829293557074,2274.9533333333334
39,Male,Health,450.44,Online,69,1896.64,1.0,0.0,1,0.014492753623188406,6.528115942028985,17567.16,69.0,4.210638486812894,1896.64
70,Female,Motor,794.03,Broker,90,3517.6,1.0,0.0,1,0.011111111111111112,8.822555555555555,55582.1,90.0,4.430059317658023,3517.6
19,Female,Motor,843.44,Online,71,10315.79,3.0,0.0,1,0.04225352112676056,11.87943661971831,16025.36,213.0,12.230615100066395,3438.596666666667
41,Male,Motor,1352.52,Bank,93,0.0,0.0,0.0,0,0.0,14.543225806451613,55453.32,0.0,0.0,0.0
61,Male,Motor,1692.89,Online,33,1292.81,1.0,0.0,1,0.030303030303030304,51.299696969696974,103266.29000000001,33.0,0.7636704097726372,1292.81
